round,player,owner,team
7,James Conner,Adam,Mackenzie's Team
9,Justin Jefferson,Adam,Mackenzie's Team
1,Dalvin Cook,Daniel,Grape Juicers
6,Brandin Cooks,Daniel,Grape Juicers
3,Cooper Kupp,Graham,Hurtin Albertan
16,Elijah Moore,Graham,Hurtin Albertan
15,Justin Herbert,Jeff,Eli for President
16,Amon-Ra St. Brown,Jeff,Eli for President
1,Najee Harris,Jesse,Sorry Eiferted
6,Ja'Marr Chase,Jesse,Sorry Eiferted
1,Christian McCaffrey,John,Catch 22
16,Gabriel Davis,John,Catch 22
2,Jonathan Taylor,Josh,BadonkaGronk
16,J.K. Dobbins,Josh,BadonkaGronk
5,Javonte Williams,Keaton,Keytawnsaurus Rex 🦖
6,Josh Allen,Keaton,Keytawnsaurus Rex 🦖
1,Austin Ekeler,Kyle,Romeo Clyde Edwards Dallaire
16,Eli Mitchell,Kyle,Romeo Clyde Edwards Dallaire
4,Mark Andrews,Neil,🦝
16,Rashod Bateman,Neil,🦝
7,Deebo Samuel,William,PB Livin'
15,Tee Higgins,William,PB Livin'
5,Courtland Sutton,Zac,Hockenson balls
8,Leonard Fournette,Zac,Hockenson balls
